evaluation,split,model,seed,horizon_hours,metric,value
zero_shot,internal_test,grud,20260915,24,patient_nmae,0.545661769373193
zero_shot,internal_test,grud,20260915,24,patient_crps,0.3989919844074387
zero_shot,internal_test,grud,20260915,24,coverage_90,0.8401818082634408
zero_shot,internal_test,grud,20260915,24,coverage_error_90,0.05981819173655922
zero_shot,internal_test,grud,20260915,24,mean_interval_width_scaled,1.9921719725822433
zero_shot,internal_test,grud,20260915,24,patient_nll,1.1310518407953183
zero_shot,internal_test,grud,20260915,24,mask_brier,0.07447994353203417
zero_shot,external_test,grud,20260915,1,patient_nmae,0.37800821663165707
zero_shot,external_test,grud,20260915,1,patient_crps,0.2839191247987397
zero_shot,external_test,grud,20260915,1,coverage_90,0.8545211407785517
zero_shot,external_test,grud,20260915,1,coverage_error_90,0.04547885922144834
zero_shot,external_test,grud,20260915,1,mean_interval_width_scaled,1.4515567424240412
zero_shot,external_test,grud,20260915,1,patient_nll,0.7945534808154768
zero_shot,external_test,grud,20260915,1,mask_brier,0.0634435654252445
zero_shot,external_test,grud,20260915,3,patient_nmae,0.4379761920083461
zero_shot,external_test,grud,20260915,3,patient_crps,0.32512347000952646
zero_shot,external_test,grud,20260915,3,coverage_90,0.8464943765809323
zero_shot,external_test,grud,20260915,3,coverage_error_90,0.05350562341906773
zero_shot,external_test,grud,20260915,3,mean_interval_width_scaled,1.6247488794266232
zero_shot,external_test,grud,20260915,3,patient_nll,0.9166297568581381
zero_shot,external_test,grud,20260915,3,mask_brier,0.06103187665873477
zero_shot,external_test,grud,20260915,6,patient_nmae,0.48446110213505555
zero_shot,external_test,grud,20260915,6,patient_crps,0.3577853377366035
zero_shot,external_test,grud,20260915,6,coverage_90,0.8378244886640348
zero_shot,external_test,grud,20260915,6,coverage_error_90,0.06217551133596522
zero_shot,external_test,grud,20260915,6,mean_interval_width_scaled,1.7583270902601926
zero_shot,external_test,grud,20260915,6,patient_nll,1.0291442544627405
zero_shot,external_test,grud,20260915,6,mask_brier,0.06304320400702376
zero_shot,external_test,grud,20260915,12,patient_nmae,0.5234771296969704
zero_shot,external_test,grud,20260915,12,patient_crps,0.38537096328342874
zero_shot,external_test,grud,20260915,12,coverage_90,0.8370830482743614
zero_shot,external_test,grud,20260915,12,coverage_error_90,0.0629169517256386
zero_shot,external_test,grud,20260915,12,mean_interval_width_scaled,1.8954440295222796
zero_shot,external_test,grud,20260915,12,patient_nll,1.1036535599764483
zero_shot,external_test,grud,20260915,12,mask_brier,0.06441513477707764
zero_shot,external_test,grud,20260915,24,patient_nmae,0.5642600744053163
zero_shot,external_test,grud,20260915,24,patient_crps,0.4150387336839621
zero_shot,external_test,grud,20260915,24,coverage_90,0.8395757128510976
zero_shot,external_test,grud,20260915,24,coverage_error_90,0.06042428714890247
zero_shot,external_test,grud,20260915,24,mean_interval_width_scaled,2.050549815568825
zero_shot,external_test,grud,20260915,24,patient_nll,1.1865519227977614
zero_shot,external_test,grud,20260915,24,mask_brier,0.06981834930542122
recalibrated,external_test,grud,20260915,1,patient_nmae,0.37800821611336577
recalibrated,external_test,grud,20260915,1,patient_crps,0.2885196980024774
recalibrated,external_test,grud,20260915,1,coverage_90,0.8963539746046322
